"description","disease"
"On constate sur les jeunes feuilles situées à la base des sarments l'apparition de zones translucides d'aspect graisseux, mesurant approximativement 8 à 18 millimètres de diamètre, initialement de couleur vert clair avant de virer progressivement au jaune caractéristique. La face dorsale des feuilles affectées se couvre d'un duvet cryptogamique blanc extrêmement dense.",Mildiou
"Le feuillage dans son ensemble exhibe des symptômes de nécroses parfaitement circulaires et distinctives, initiées par de minuscules taches brunâtres de 2 à 4 millimètres qui s'expandent graduellement pour constituer des lésions présentant des cercles concentriques évoquant une cible.",Black Rot
"Un revêtement poudreux de teinte blanche à cendrée, présentant une texture farineuse, envahit la surface des jeunes feuilles, créant l'illusion qu'elles ont été aspergées de poudre ou de cendre légère.",Oïdium
"Le système foliaire présente une dépigmentation progressive et non symétrique, démarrant habituellement sur un unique bras du plant ou même sur la moitié d'une feuille, avec des secteurs qui jaunissent puis brunissent en avançant du pourtour vers les nervures centrales.",Esca
"Les symptômes de la flavescence dorée apparaissent généralement à partir de juillet et s'intensifient durant l'été. Les feuilles des cépages blancs présentent une décoloration jaune vif uniforme, tandis que celles des cépages rouges prennent une teinte rouge pourpre intense.",Flavescence dorée
"Des plages translucides de consistance huileuse se forment sur le limbe foliaire après des épisodes pluvieux printaniers, principalement localisées sur les feuilles basses des sarments. La face inférieure développe rapidement une fructification blanche cotonneuse.",Mildiou
"La surface foliaire se pare d'un voile farineux blanchâtre qui s'étend progressivement sur l'intégralité des organes verts en croissance. Les jeunes feuilles contaminées présentent des déformations structurelles marquées avec un aspect crispé.",Oïdium
"Le tissu ligneux interne révèle des altérations spectaculaires lorsqu'on pratique une section transversale, avec présence de rayures noirâtres dans les vaisseaux conducteurs et formation de zones nécrotiques triangulaires.",Esca
"Des lésions circulaires à zonation concentrique apparaissent sur le feuillage, débutant comme de minuscules ponctuations brun-rougeâtre qui s'élargissent en anneaux alternativement clairs et foncés évoquant un œil de bœuf.",Black Rot
"Le limbe foliaire devient anormalement rigide et cassant, adoptant une coloration jaune éclatant chez les variétés à raisins blancs ou rouge pourpre intense chez les cépages colorés. Un enroulement prononcé vers la face inférieure confère aux feuilles un profil en gouttière.",Flavescence dorée
"Les jeunes grappes sont extrêmement sensibles avant et pendant la floraison, l'infection provoque un brunissement et un dessèchement complet en quelques jours. Les baies infectées brunissent et se momifient, développent une pourriture molle.",Mildiou
"Les baies affectées au stade initial éclatent véritablement sous la tension de leur développement, révélant les pépins. La pathologie se disperse particulièrement efficacement par temps sec et chaud, avec des températures idéales autour de 26-29 degrés.",Oïdium
"En sectionnant les bras du tronc de la souche touchée, on met au jour des nécroses intérieures remarquables avec des traînées longitudinales brun sombre à noires dans le tissu ligneux. L'écorce du tronc peut exhiber des fentes verticales et des zones de bois mort.",Esca
"Les fruits touchés engendrent des points sombres qui s'élargissent rapidement en taches arrondies brunâtres, l'épiderme se plisse et la pulpe se momifie totalement, les baies devenant aussi dures que du parchemin.",Black Rot
"Les rameaux de l'année montrent un défaut de lignification marqué, ils restent verts, souples et pendants jusqu'à l'automne. Les grappes atteintes se dessèchent partiellement ou totalement, les baies se flétrissent et brunissent.",Flavescence dorée
"Après des pluies continues avec températures douces, les jeunes feuilles développent des plages d'aspect aqueux et translucide. Ces zones évoluent chromatiquement du vert pâle vers le jaune puis le brun nécrotique.",Mildiou
"Un enduit pulvérulent recouvre la surface supérieure des jeunes feuilles en développement. Les baies atteintes au stade précoce se fendent littéralement sous l'effet de leur croissance, laissant voir les pépins.",Oïdium
"Les feuilles montrent une chlorose progressive et asymétrique. Cette nécrose foliaire est accompagnée d'un dessèchement qui donne aux feuilles un aspect parchemin et cassant.",Esca
"De minuscules points rougeâtres apparaissent sur les jeunes feuilles, s'élargissant progressivement en lésions circulaires de 6 à 14 millimètres de diamètre avec un zonage concentrique très net.",Black Rot
"Les feuilles deviennent anormalement rigides, perdent leur turgescence naturelle et prennent une coloration intense et homogène. Un enroulement vers la face inférieure du limbe est observé, accompagné d'un épaississement marqué des tissus.",Flavescence dorée
"Les taches huileuses d'aspect imbibé d'eau sont translucides lorsqu'on observe la feuille par transparence. La face inférieure se recouvre d'un feutrage blanc très dense qui libère des milliers de spores.",Mildiou
"Les jeunes pousses et le feuillage tendre se parent d'une efflorescence poudreuse. Les jeunes grappes infectées au stade boutons floraux provoquent une coulure importante et des grappes très clairsemées.",Oïdium
"Les manifestations foliaires surgissent de façon brutale en juin-juillet lors des chaleurs intenses, suite à un stress hydrique qui révèle la colonisation mycélienne interne du réseau vasculaire.",Esca
"Le centre des taches devient rapidement gris clair puis nécrotique et peut se perforer et tomber. Sur les rameaux verts apparaissent des chancres allongés rouge-pourpre puis brun-violet à noirs.",Black Rot
"Les rameaux présentent un port retombant caractéristique et une absence quasi totale d'aoûtement. Les inflorescences et grappes infectées avortent ou se dessèchent précocement.",Flavescence dorée
"Les lésions primaires de forme circulaire à irrégulière mesurent généralement 6 à 18 millimètres et apparaissent préférentiellement sur la face supérieure des feuilles de la base des rameaux.",Mildiou
"Le réseau mycélien superficiel génère des spores en grande quantité qui donnent cet aspect caractéristique de poudre qu'on peut aisément retirer en frottant avec le doigt.",Oïdium
"Les plants atteints présentent un port affaibli général, des rameaux courts avec des entre-nœuds raccourcis, une production irrégulière, et peuvent succomber brutalement lors d'un stress hydrique estival.",Esca
"Les baies infectées très jeunes développent de petites taches blanc-grisâtre à centre brun clair où apparaît un point noir saillant. La baie se colore uniformément en brun, se ride et durcit.",Black Rot
"Cette maladie à phytoplasme se distingue par une expression foliaire très homogène et spectaculaire. Les feuilles atteintes deviennent épaisses, coriaces et cassantes.",Flavescence dorée
"Les grappes encore jeunes subissent un brunissement rapide et adoptent une courbure en forme de crosse. La propagation s'accélère considérablement pendant les séquences pluvieuses continues.",Mildiou
"Les feuilles contaminées précocement manifestent des distorsions notables, s'incurvant sur elles-mêmes et conservant une taille inférieure à la normale.",Oïdium
"La forme amadou montre un bois devenu mou, spongieux et blanchâtre qui s'effrite facilement. Les symptômes n'affectent souvent qu'un seul côté du plant.",Esca
"Ces chancres peuvent ceinturer l'organe, perturbant la circulation de sève. Les baies se couvrent de nombreux points noirs disposés en cercles concentriques.",Black Rot
"L'enroulement du limbe vers le bas est constant et s'accentue au fil de la saison. Les grappes montrent une évolution dramatique avec arrêt de croissance et dessèchement de la rafle.",Flavescence dorée
"Par temps humide, le duvet blanc est particulièrement visible et libère des millions de spores assurant la dissémination de la maladie. Les jeunes inflorescences sont extrêmement vulnérables.",Mildiou
"Cette pellicule mycélienne de surface se propage aussi sur les deux faces des feuilles matures et particulièrement sur les jeunes grappes en formation.",Oïdium
"Une particularité remarquable est qu'une feuille peut être divisée verticalement en une moitié totalement nécrosée et une moitié parfaitement verte.",Esca
"Ces marques montrent une alternance d'anneaux successifs oscillant entre des zones pâles et sombres, avec un cœur qui finit par se dessécher intégralement.",Black Rot
"Les nervures principales restent souvent vertes au début puis se décolorent secondairement. La transmission est assurée par la cicadelle vectrice lors de ses piqûres alimentaires.",Flavescence dorée
"Les macules de forme généralement polygonale car délimitées par les nervures foliaires peuvent s'étendre considérablement. La couleur évolue du vert pâle translucide vers un jaune vif.",Mildiou
"Les baies contaminées avant d'atteindre la taille d'un petit pois éclatent sous l'effet de leur croissance entravée par le mycélium qui rigidifie l'épiderme.",Oïdium
"Les zones chlorotiques évoluent rapidement vers une nécrose brun-rouge chez les cépages rouges ou jaune-paille chez les cépages blancs, créant un liseré caractéristique.",Esca
"La périphérie de la lésion reste brun-rouge foncé, nettement délimitée du tissu sain. Ces taches développent une zonation concentrique en œil de bœuf.",Black Rot
"Dans les cas sévères, l'ensemble du plant présente un port affaissé et une chute prématurée du feuillage. La propagation au vignoble est rapide en présence du vecteur.",Flavescence dorée
"Ces lésions évoluent du vert-jaune vers un brun nécrotique avec parfois un halo jaune périphérique. Les baies plus matures développent une pourriture molle avec un aspect de cuir bouilli.",Mildiou
"La maladie se développe particulièrement bien lors de périodes sèches et chaudes, avec des températures optimales situées autour de 24-27 degrés.",Oïdium
"En fendant un sarment ou une branche, on révèle des stries noires longitudinales dans les cernes récents, ou bien une nécrose sectorielle formant un triangle.",Esca
"Sur les nervures principales et jeunes rameaux verts apparaissent des chancres allongés déprimés, parfois fissurés longitudinalement.",Black Rot
"Le limbe s'épaissit et devient rigide et cassant. Les feuilles ont tendance à s'enrouler vers le dessous en prenant un aspect de cuillère très typique.",Flavescence dorée
"Les structures reproductrices du pathogène prolifèrent particulièrement lors de conditions humides avec des températures oscillant entre 17 et 24 degrés.",Mildiou
"Les tiges herbacées se couvrent d'une pellicule grise à blanchâtre avec des zones plus concentrées formant des taches irrégulières.",Oïdium
"Les ceps pathologiques produisent des raisins souvent flétris et de qualité inférieure, et dans les situations critiques des bras complets peuvent périr subitement.",Esca
"Le limbe foliaire présente des trous suite au détachement des tissus nécrotiques centraux. Les baies momifiées persistent attachées à la grappe durant toute la période hivernale.",Black Rot
"Les baies se ratatinent et prennent un aspect brun noirâtre. La maladie est incurable et entraîne un affaiblissement rapide du plant.",Flavescence dorée
"Des zones translucides d'aspect graisseux apparaissent, initialement de couleur vert clair. Un feutrage blanc cotonneux très dense se développe sur la face inférieure.",Mildiou
"Les jeunes feuilles infectées précocement montrent des déformations importantes avec un aspect bullé ou gaufré et une réduction de la taille du limbe.",Oïdium
"Les symptômes sur feuilles apparaissent généralement brutalement en été suite à un stress hydrique. L'écorce peut présenter des fissures verticales.",Esca
"Les lésions s'agrandissent progressivement en taches circulaires avec alternance d'anneaux concentriques bruns et beiges. La marge reste bien délimitée.",Black Rot
"Les rameaux herbacés restent verts et flexibles, ne se lignifiant pas normalement, ce qui les rend sensibles aux accidents climatiques.",Flavescence dorée
"La période d'incubation n'excède pas 5 à 8 jours en fonction des paramètres climatiques. Les grappes adoptent une courbure caractéristique.",Mildiou
"Ce champignon se développe en surface sans pénétrer profondément dans les tissus. Les rameaux herbacés développent des plages poudreuses irrégulières.",Oïdium
"La forme apoplectique se traduit par un flétrissement brutal et complet d'un bras ou de l'ensemble du plant en quelques jours.",Esca
"Les tissus morts au centre se dessèchent complètement, se perforent et tombent. Ces chancres peuvent bloquer la circulation de la sève.",Black Rot
"Une coloration vive et uniforme sans mosaïque se développe. Les grappes subissent un arrêt de croissance et un dessèchement de la rafle.",Flavescence dorée
"Des taches d'aspect imbibé d'eau se forment après des précipitations printanières prolongées. Le feutrage blanc émerge massivement par les stomates.",Mildiou
"Une infection précoce provoque avortement des fleurs et coulure. Le mycélium rigidifie la pellicule qui finit par se fendre en étoile.",Oïdium
"Les altérations du bois sont spectaculaires avec dégradation complète du bois qui devient mou et spongieux. Le feuillage exprime une décoloration non uniforme.",Esca
